date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:22	177378/177378	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2020:49:14%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/Posicionamiento-en-la-web-en-Barcelona.jpeg	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/Posicionamiento-en-la-web-en-Barcelona.jpg	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:22	281427/281427	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2020:49:15%20GMT	https://www.webslowcost.pro/wp-content/uploads/2020/06/Posicionamiento-web-y-seo-en-Barcelona.jpeg	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2020/06/Posicionamiento-web-y-seo-en-Barcelona.jpg	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:22	13880/13880	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2015:56:49%20GMT	https://www.webslowcost.pro/wp-content/uploads/2021/04/banahosting-icon.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2021/04/banahosting-icon.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:22	18898/18898	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20May%202021%2015:28:13%20GMT	https://www.webslowcost.pro/wp-content/uploads/2021/05/logo-400x400-7d3d5942f5.jpg	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2021/05/logo-400x400-7d3d5942f5.jpg	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:22	11364/11364	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2015:56:49%20GMT	https://www.webslowcost.pro/wp-content/uploads/2021/04/greengeeks-2-1-e1619804178491.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2021/04/greengeeks-2-1-e1619804178491.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:23	22700/22700	---M--	200	added ('OK')	image/gif	etag:%2261a65e48-58ac%22	https://afiliados.webempresa.eu/wordpress_250x250_pruebagratis.gif	D:/DOWNLOADS/POSICIONAIENTO%20WEB/afiliados.webempresa.eu/wordpress_250x250_pruebagratis.gif	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:23	3358/3358	---M--	200	added ('OK')	image/png	date:Thu,%2027%20May%202021%2015:28:13%20GMT	https://www.webslowcost.pro/wp-content/uploads/2021/05/indice.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2021/05/indice.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:23	26142/26142	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Mar%202021%2018:33:41%20GMT	https://www.webslowcost.pro/wp-content/uploads/2021/01/PAYPAL-PAGO-300x144.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/uploads/2021/01/PAYPAL-PAGO-300x144.png	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:24	1688/1688	---M--	200	added ('OK')	image/gif	etag:%225d5637bf-698%22	https://www.paypalobjects.com/es_ES/ES/i/btn/btn_cart_LG.gif	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.paypalobjects.com/es_ES/ES/i/btn/btn_cart_LG.gif	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:24	43/43	---M--	200	added ('OK')	image/gif	etag:%225d5637bf-2b%22	https://www.paypalobjects.com/es_ES/i/scr/pixel.gif	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.paypalobjects.com/es_ES/i/scr/pixel.gif	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:24	5690/5690	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Jan%202022%2015:14:02%20GMT	https://www.webslowcost.pro/wp-includes/js/dist/hooks.min.js?ver=1e58c8c5a32b2e97491080c5b10dc71c	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-includes/js/dist/hooks.min8cbb.js	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:24	10407/10407	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Jan%202022%2015:14:04%20GMT	https://www.webslowcost.pro/wp-includes/js/dist/i18n.min.js?ver=30fcecb428a0e8383d3776bcdd3a7834	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-includes/js/dist/i18n.mina28b.js	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:25	8291/8291	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2014:56:43%20GMT	https://www.webslowcost.pro/wp-content/plugins/wp-rocket/assets/js/lazyload/17.5/lazyload.min.js	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/wp-rocket/assets/js/lazyload/17.5/lazyload.min.js	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:25	1053993/1053993	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2028%20May%202022%2003:07:02%20GMT	https://www.webslowcost.pro/wp-content/cache/min/1/49146029c5f9d70bac48a6c3fb32e5e9.js	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/cache/min/1/49146029c5f9d70bac48a6c3fb32e5e9.js	(from https://www.webslowcost.pro/posicionamiento-web-seo-en-barcelona/)
08:55:26	933/933	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Oct%202018%2019:40:54%20GMT	https://www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css)
08:55:26	951/951	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Oct%202018%2019:40:54%20GMT	https://www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css)
08:55:26	938/938	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Oct%202018%2019:40:54%20GMT	https://www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css)
08:55:26	935/935	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Oct%202018%2019:40:54%20GMT	https://www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css)
08:55:27	184/184	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Oct%202018%2019:40:54%20GMT	https://www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css)
08:55:27	2545/2545	---M--	200	added ('OK')	image/gif	date:Tue,%2016%20Oct%202018%2019:40:54%20GMT	https://www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/loader.gif	D:/DOWNLOADS/POSICIONAIENTO%20WEB/www.webslowcost.pro/wp-content/plugins/revslider/public/assets/assets/loader.gif	(from https://www.webslowcost.pro/wp-content/cache/min/1/74ec2defaae5e90b089ce25af90d5a42.css)
